title	originalTitle	sortingTitle	summary	platformList	myRating	criticsScore	developers	genres	publishers	releaseDate	originalReleaseDate	themes	gameMins	lastPlayed	tags	dlcs	isHidden	osCompatibility	backgroundImage	squareIcon	verticalCover
Alan Wakes American Nightmare	Alan Wakes American Nightmare	Alan Wakes American Nightmare	"The plot of American Nightmare is framed by the narration of an episode of the fictional TV show, ""Night Springs,"" which follows the style of The Twilight Zone and appeared on television screens throughout the original Alan Wake.\nAlan Wake's friend and manager, Barry, is asleep in a motel room. The narration explains that Alan is attempting to chase down the ""herald of darkness"", Mr. Scratch, who is Alan's evil doppelganger created by a dark force. Scratch is determined to take away everything Alan loves, including his wife, Alice. Alan, as the ""champion of light,"" has the ability to rewrite reality, and was able to write his escape from Cauldron Lake in Washington. He ends up near the small town of Night Springs, Arizona, and learns that he has been missing from the real world for nearly two years.\nA nearby oil derrick erupts with several foes controlled by Mr. Scratch. Seeking light, Alan runs to a nearby motel, where he encounters Emma Sloan, who at first thinks he is Mr. Scratch, since they look identical. She tells Alan that Scratch was at the motel the night before, and provides Alan with a typewritten page, a way to alter reality to destroy the derrick and stop the foes. Alan follows its instructions, which causes a meteor to collide with an artificial satellite, sending it hurtling towards the ground, where it then collides with the oil derrick. While Alan is away performing this task, the dark forces consume Emma.\nFollowing clues he found at the motel, along with a set of keys, Alan heads to a nearby observatory. There, Dr. Rachel Meadows, who also met Mr. Scratch previously, is tracking a mysterious signal sent just before the satellite was knocked out of orbit. Rachel tells Alan that Mr. Scratch was very interested in this signal, and Alan surmises that it must contain the key to fighting the darkness. While attempting to obtain the complete signal, the observatory's telescope is sabotaged by the darkness, which reinforces Alan's belief that the signal contains something he needs. After repairing the damage, a portion of the signal comes through that translates into a page of a story: a new reality that Alan can presumably implement.\nThe page points him to a nearby drive-in theater, where he meets Serena Valdivia, who is under the influence of the darkness. After freeing her by restoring power and switching the lights on, Serena tells Alan that Mr. Scratch is trying to prevent the sun from ever rising again. She gives Alan the security code to the projection room where he can change reality. Alan uses the incomplete message to try to set the new reality. However, as the message is only partial, the new reality does not take effect. Mr. Scratch appears, gloating, and sends Alan back in time to a few hours before.\nWaking up again near the motel, Alan repeats many of the same motions. Emma and Rachel still have some deja vu of the previous loop's events, and have helped perform some of Alan's previous tasks for him. Despite his efforts to change events this time around, Emma is nevertheless consumed again by the darkness. Rachel is able to capture a longer portion of the signal this time, but it is still incomplete. When Alan returns to the drive-in theater, he is again unable to complete the new reality and is sent back in time again by Mr. Scratch.\nAlan repeats his actions for a third time, but this time, he is able to save Emma and gain the complete message from Rachel. He sets the correct series of events in the projection room, which triggers the projector to show a film made by Alice. Mr. Scratch appears again, but discovers that Alan has successfully written the new reality, and he is burned out of existence by the film. On the screen, Alan appears to reunite with Alice along a sun-lit shoreline; however, the narrator notes that this could quite possibly be just a figment of Alan's imagination, since he is still trapped in the Dark Place.\nDuring the credits, it is revealed that the name of the episode of Night Springs that Alan wrote himself into was titled ""Return"", a reference to the manuscript he began to type at the end of Special Two: The Writer.\nAfter completion of the game's credits, Barry wakes up suddenly, believing he has heard Alan's voice."	Epic Games Store		79	Remedy Entertainment	"Adventure	Shooter"	"Microsoft Studios	Nordic Games Publishing"	2012-02-22	2012-02-22	"Action	Drama	Horror	Science fiction	Survival"			HighPriority		False	Windows	https://images.gog.com/d400034f67f3353406eca672dca3fdc2a8e6be4c994ea531f50a6ca6e085cc30_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/19d68e040c7a171b23746476ded9d400308b32dbc2467fdee1c49b599301348b_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/3c614bc0e5cf4cf19b2e750aa6293992c35fce7bb6a214e28db29adcb0ca4094_glx_vertical_cover.webp?namespace=gamesdb
Alba - A Wildlife Adventure	Alba - A Wildlife Adventure	Alba A Wildlife Adventure	Small actions can make a big difference. Join Alba, a young activist as she sets out to save a beautiful island and its wildlife.	Epic Games Store		82	Ustwo Games	"Adventure	Indie"	"Plug In Digital	Ustwo Games"	2020-12-11	2020-12-11	"Educational	Kids	Open world"			LowPriority		False	Windows	https://images.gog.com/0dc6a1a878062b98b44e00d4fd0e3ee504feb11bd1fa3fae6e6519995e875d40_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/a835897e14e64edb71d9c48e8da22e047304b6266586569f7ffcb49696c9f51b_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/2d9324e53a20d32682d037209342b0558a93abdc09bae530747f3734d1e5116e_glx_vertical_cover.webp?namespace=gamesdb
Alder's Blood Prologue	Alder's Blood Prologue	Alders Blood Prologue	Alder's Blood is a grim, dark and damp turn-based, tactical, strategic, 2D game. Lead a group of Hunters in a world, where nature have lost her mind and repelled the civilisation. Use cold steel and trustworthy rifles or guns to fight back.	GOG			Shockwork Games	"Adventure	Indie	Role-playing (RPG)	Strategy	Tactical	Turn-based strategy (TBS)"	No Gravity Games	2020-02-12	2020-02-12	"Fantasy	Stealth"			HighPriority		False	Windows	https://images.gog.com/305750925718087df59b1cc778e53b8614e70f929425a5928899a3aa7130820d_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/d73bd92d00156ad1e8333d957545562958370349f621da55cf00e65f8c49f830_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/e29061683a15383e38bdf2895b0b8b0aee284980272dcb991f202547fdf20c8a_glx_vertical_cover.webp?namespace=gamesdb
Alex Kidd in Miracle World DX	Alex Kidd in Miracle World DX	Alex Kidd in Miracle World DX	The legendary Alex Kidd returns with Alex Kidd in Miracle World DX!\nSince his first appearance in 1986 with Alex Kidd in Miracle World. The iconic Alex Kidd makes his return to smash rocks, collect coins and tackle bosses once again in Alex Kidd in Miracle World DX!\n\nReturn The Kingdom of Radaxian to its former glory and destroy the evil Janken the Great!\nComprising of all levels from the original title as well as brand new levels which expand the lore of Alex Kidd, experience Miracle World like you’ve never seen it before with new animations, graphical detail and gameplay improvements.	Epic Games Store			"Janken Team	Merge Games"	"Adventure	Platform"	Merge Games	2021-12-31	2021-12-31	"Action	Comedy	Fantasy"	3		Maybe Return		False	Windows		https://images.gog.com/5c36563fb4746df00c50ffbec4d137e4b7ee0e0d5cf31d1a65e1e69b0ec9bf94_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/5c36563fb4746df00c50ffbec4d137e4b7ee0e0d5cf31d1a65e1e69b0ec9bf94_glx_vertical_cover.webp?namespace=gamesdb
Alien: Isolation	Alien: Isolation	Alien Isolation	Discover the true meaning of fear in Alien: Isolation, a survival horror set in an atmosphere of constant dread and mortal danger. Fifteen years after the events of Alien™, Ellen Ripley's daughter, Amanda enters a desperate battle for survival, on a mission to unravel the truth behind her mother's disappearance.\n\nAs Amanda, you will navigate through an increasingly volatile world as you find yourself confronted on all sides by a panicked, desperate population and an unpredictable, ruthless Alien.\n\nUnderpowered and underprepared, you must scavenge resources, improvise solutions and use your wits, not just to succeed in your mission, but to simply stay alive.	Epic Games Store		86	The Creative Assembly	Adventure	"Feral Interactive	Sega"	2014-10-06	2014-10-06	"Action	Horror	Science fiction	Stealth	Survival"	1		HighPriority		False	"Linux	macOS	Windows"	https://images.gog.com/2a279020ae560b75e393e0fb185c1e037b35c8ee12f27ae04e606ee3952f5137_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/6f9e84b42a9f06f9d5555eb632635376cde5a845ab3d986844b12c09745a2bb4_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/07083bbcfcdeae9d6f73757f113e8bab09f329f4e94f8bf79e5f08da5d69a90c_glx_vertical_cover.webp?namespace=gamesdb
The Almost Gone	The Almost Gone	Almost Gone	The Almost Gone is a mystery point-and-click adventure where a young girl's spirit looks for a way out in a magical afterlife. It is a mysterious narrative exploration game set in a one second world where a little girl tries to understand her own dead and needs to fix the moment of death of others.	Amazon		70	Happy Volcano	"Adventure	Indie	Point-and-click	Puzzle	Simulator"	"Playdigious	X.D. Network Inc."	2020-05-05	2020-05-05	"Fantasy	Mystery"			LowPriority		False		https://images.gog.com/720262a38e41eb77324f4c3e6e9ab830f20c09f5c78efe92f9afbc9f896ec3fd_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/367368f7a2758186b9a60d090633dfa4965d71361a8feb8638ab11939531e62e_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/b4f62644d148d35bf8dfa4dcda4da336f1c4bf3ef6bb7779af3c43c021b3ab1d_glx_vertical_cover.webp?namespace=gamesdb
Alpha Mission II	Alpha Mission II	Alpha Mission 2	Alpha Mission II is a 2D vertical scrolling shooter with a great deal of depth for two players moving vertically up the screen boards shooting anything that moves. Equip up to three pieces of armor, which also serve as weapons, for a variety of attacks such as the laser and flamethrower. Use them to defeat the evil “Fulvar” and save mankind!	Amazon			SNK	"Arcade	Shooter"	"SNK	SNK Playmore"	1991-01-25	1991-01-25	Science fiction			HighPriority		False		https://images.gog.com/4d9aafe6b20260f19b437e5abbe441e5aa849d1335e834fdadaf6d1b0588c234_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/a61b72c983f10fbaa2d93af185753d83caff16fa8a5e3ecedfc49eac7ce552d8_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/a1d46f763414c2c11405433e691cac3e817b5a20d5fb25d1d09fbead0ab1a505_glx_vertical_cover.webp?namespace=gamesdb
Alternative Look for Ciri	Alternative Look for Ciri	Alternative Look for Ciri		GOG			TEST DEVELOPER 2		TEST PUBLISHER 2	2015-05-19	2015-05-19						False	Windows			
Alwa's Awakening	Alwa's Awakening	Alwas Awakening	Use your magic staff and progress through a large interconnected world where you'll solve puzzles, fight enemies and defeat bosses in order to help free the land of Alwa. Explore and uncover the secrets by using your platforming skills in this challenging and charming 8-bit adventure game.\n\nAlwa’s Awakening is a game that tries to stay as close as possible to the authentic 8-bit look with sweet pixel art, a soundtrack filled with catchy chiptunes and so much charm it’ll bring you right back to the NES era. With easy to understand controls the game is easy to learn but tough to master, just like how games were in the old days!\n\n- A new challenging NES-inspired adventure game\n- Use the magic staff to solve puzzles and defeat enemies\n- Find and unlock upgrades to your items and abilities\n- Explore a large interconnected map in true 'Metroidvania' style\n- Listen to a completely new 8-bit soundtrack with over 25 new original tracks	GOG		75	Elden Pixels	"Adventure	Indie	Platform"	"Elden Pixels	Mega Cat Studios"	2017-02-03	2017-02-03	"Action	Fantasy"			HighPriority		False	"Linux	macOS	Windows"	https://images.gog.com/c5860c0dbaabb986bba6cb7f2479c9aa02666f20ceb75948df716505ea782f5c_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/a473a87ef8760118b45d36dc42cdca5ca2fa913b87c3329a3b55ef9230f067f7_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/8c0834b7d6a1f0ca654ba565eca7a999edc7d4fdfe0b4617830a46d9dbc3670c_glx_vertical_cover.webp?namespace=gamesdb
Amnesia: A Machine For Pigs	Amnesia: A Machine For Pigs	Amnesia A Machine For Pigs	From the creators of Amnesia: The Dark Descent and Dear Esther comes a new first-person horrorgame that will drag you to the depths of greed power and madness. It will bury its snout into your ribs and it will eat your heart.	"Epic Games Store	GOG"		73	The Chinese Room	"Adventure	Indie	Puzzle"	Frictional Games	2013-09-10	2013-09-10	"Action	Horror	Stealth	Survival"			LowPriority		False	"Linux	macOS	Windows"	https://images.gog.com/4ea58fc585d9489c56c49c30df97b44982af79c2af8a2664fd89a231607007cb_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/bb07678490be11804fe249264af5262464f10097daae323ee762d270eed34a7c_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/132f6bc800287ab73a8a23d4b7358c315c2bf7e4b8506918966cbcef0cb6aa6b_glx_vertical_cover.webp?namespace=gamesdb
Amnesia: Rebirth	Amnesia: Rebirth	Amnesia Rebirth	Amnesia: Rebirth, a new descent into darkness from the creators of the iconic Amnesia series. A harrowing journey through desolation and despair, exploring the limits of human resilience.	Epic Games Store			Frictional Games	"Adventure	Indie"	Frictional Games	2025-06-02	2025-06-02	Horror			HighPriority		False	"macOS	Windows"	https://images.gog.com/584db6f4c45c4a08d46424df82e27e97a1f3b52f250038675d123e00f51018b9_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/544472b08c0abe121371af77659a4baed81ecf0dfe9e5177c9bcaf7600121171_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/6f73fd9c8a94ce6619496d8f46f88c4677fde9a1e93ca498aa8dd93bbb7a7580_glx_vertical_cover.webp?namespace=gamesdb
Amnesia: The Dark Descent	Amnesia: The Dark Descent	Amnesia The Dark Descent	Amnesia: The Dark Descent is a survival horror video game by Frictional Games. The game features a protagonist named Daniel exploring a dark and foreboding castle, while trying to maintain his sanity by avoiding monsters and other terrifying obstructions. The game was critically well received.	Steam	1	89	Frictional Games	"Adventure	Indie	Puzzle"	Frictional Games	2010-09-08	2010-09-08	"Action	Horror	Survival"	5	2015-10-04 15:37:22	HighPriority		False	"Linux	macOS	Windows"	https://images.gog.com/26960cb6d47a6a0709e2644c1626a780fabccf5c65741fd033abfd50f1024657_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/4bd8be8144db2a8277b072c15a7ba6f70695e094135dd51d958cc489e080762f_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/c249233f5ae92174498f2252eae54d2ee01ff11d934063801d80f28059ca4c27_glx_vertical_cover.webp?namespace=gamesdb
